Term,Freq,Total,Category,logprob,loglift
ferromagnetic,16.435266212720695,17.793047570825532,Topic5,-6.9332,1.8931
fermi,28.809075462124607,31.416452224687802,Topic5,-6.3719,1.8858
fluid,41.052260578748516,44.83511918382671,Topic5,-6.0177,1.8843
insulator,19.474614691562067,21.396699609050078,Topic5,-6.7635,1.8783
dope,23.715592208802697,26.078713719920444,Topic5,-6.5665,1.8775
semimetal,11.349841654182597,12.559097690290953,Topic5,-7.3034,1.8712
droplet,12.273500123520499,13.599985898372825,Topic5,-7.2251,1.8698
quasiparticle,11.886997076985962,13.181182717037176,Topic5,-7.2571,1.8691
impurity,15.392420670714055,17.171367852260293,Topic5,-6.9987,1.8631
superfluid,12.042473209421582,13.45811928695392,Topic5,-7.2441,1.8613
skyrmion,9.810577633328066,11.019833540789339,Topic5,-7.4491,1.8562
navier,11.656054257718559,13.139587046053672,Topic5,-7.2768,1.8526
magnetization,19.125136957199373,21.561424010204487,Topic5,-6.7816,1.8525
fracture,11.557595075838352,13.040687411049436,Topic5,-7.2852,1.8517
vortex,29.648035714492337,33.5020114017508,Topic5,-6.3432,1.8502
monolayer,9.825720560125212,11.153671483744365,Topic5,-7.4476,1.8457
renormalization,14.248319368987266,16.263236903943508,Topic5,-7.0759,1.8402
tunneling,12.000914465112068,13.778207369958896,Topic5,-7.2476,1.8343
fermionic,8.07993706915647,9.289199353448815,Topic5,-7.6432,1.833
cuprate,8.056313168879507,9.265564609248278,Topic5,-7.6461,1.8326
ferroelectric,8.04690296857882,9.256157642670317,Topic5,-7.6473,1.8324
chiral,12.03974907328152,13.870858027231007,Topic5,-7.2444,1.8309
spin,114.18787288881491,131.63823475371572,Topic5,-4.9947,1.8302
condensate,11.243998481864246,12.969006111250552,Topic5,-7.3127,1.8297
conduction,10.03090465644029,11.6449147888183,Topic5,-7.4269,1.8233
dislocation,7.409551825092834,8.619098998199664,Topic5,-7.7298,1.8212
viscous,8.190377388290573,9.529659457123776,Topic5,-7.6296,1.821
boson,10.342321204665257,12.065460237308885,Topic5,-7.3963,1.8183
film,33.9198117887539,40.352646231465485,Topic5,-6.2086,1.7988
disorder,32.088984482710316,38.33020361124692,Topic5,-6.2641,1.7947
bond,17.84266470698193,21.276163423612616,Topic5,-6.851,1.7965
metallic,16.11612969818153,19.16544501756564,Topic5,-6.9528,1.7992
thermodynamic,19.667627854654096,23.674170188533576,Topic5,-6.7536,1.787
magnetic,92.35457327078518,123.16242716505438,Topic5,-5.2069,1.6846
liquid,29.082044320317976,36.28610712785226,Topic5,-6.3625,1.7511
temperature,90.0023255676288,123.92522593507724,Topic5,-5.2327,1.6526
superconducte,30.198788821114682,38.29606157098161,Topic5,-6.3248,1.7349
electronic,41.40603557825645,54.89454639429445,Topic5,-6.0092,1.6905
coupling,37.18656576994573,48.927109120746145,Topic5,-6.1166,1.6981
phase,106.8518270283788,167.44829017487118,Topic5,-5.0611,1.5232
transition,72.09531952806897,107.91250854988057,Topic5,-5.4546,1.5691
graphene,19.63904384367827,24.07229798272013,Topic5,-6.7551,1.7689
crystal,29.332207840976828,38.46018917134327,Topic5,-6.3539,1.7015
wave,68.91430442640795,107.95590064081642,Topic5,-5.4997,1.5236
bulk,23.640230911428382,30.13645609535519,Topic5,-6.5696,1.7297
material,54.58804853943342,84.21369518442265,Topic5,-5.7328,1.5389
charge,39.89158826231367,57.82160849995937,Topic5,-6.0464,1.6013
pressure,38.662473845353055,55.9299639765455,Topic5,-6.0777,1.6032
particle,62.897874581388535,103.7106693651651,Topic5,-5.5911,1.4724
quantum,68.10809186436487,119.29837652930809,Topic5,-5.5115,1.4119
symmetry,38.692158939057116,58.61024927697237,Topic5,-6.0769,1.5572
energy,87.1548656430462,178.00912877175452,Topic5,-5.2649,1.2583
transport,36.06586892856722,53.385902175196144,Topic5,-6.1472,1.5803
couple,43.518502139187476,70.57908711137,Topic5,-5.9594,1.4889
interaction,67.53172928405299,136.23564503047868,Topic5,-5.52,1.2707
calculation,40.51840615741053,63.82516727775038,Topic5,-6.0308,1.5181
field,90.64702613918621,234.21602814396556,Topic5,-5.2256,1.0232
state,93.11082535162113,263.9569611315766,Topic5,-5.1988,0.9305
equation,74.41314922825174,202.71138120689457,Topic5,-5.423,0.9703
lattice,41.96431667506977,71.01543211935228,Topic5,-5.9958,1.4464
electron,39.83518747276697,64.94033094862668,Topic5,-6.0478,1.4837
effect,59.51020318963135,153.8367858794637,Topic5,-5.6464,1.0227
density,53.056034272438296,135.8275836954253,Topic5,-5.7612,1.0324
band,40.057572880513455,70.6173880011738,Topic5,-6.0423,1.4055
dynamic,54.96952341011373,166.18463170212854,Topic5,-5.7258,0.8661
topological,39.756352502827625,69.42196564017507,Topic5,-6.0498,1.415
flow,46.911227495595654,113.46022744933553,Topic5,-5.8843,1.0893
theory,55.145578270584785,188.21211678346955,Topic5,-5.7226,0.7449
surface,48.294019127327516,125.15463064351144,Topic5,-5.8553,1.0202
model,73.81769378146564,582.0901093021098,Topic5,-5.431,-0.0926
order,56.027024691891114,231.58325091163948,Topic5,-5.7067,0.5533
structure,54.24947750021081,224.40070129995036,Topic5,-5.739,0.5526
study,53.71495865715064,280.7599125057619,Topic5,-5.7489,0.3186
dimensional,45.62010250241728,162.4662554005215,Topic5,-5.9122,0.7023
property,44.74759215229557,200.60823053134376,Topic5,-5.9315,0.4721
time,45.70967698743695,335.00122423665124,Topic5,-5.9103,-0.0194
